STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
ADELAIDE-KENT-TOWN,023090,-34.92,138.62,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1479.83,608.40,311.23,163.47,398.67,1039.76,442.46,214.01,189.16,156.40,97.17,57.65,43.42,51.13,68.92,89.50,131.84,177.33,203.30
ALBANY-AIRPORT-COMPARISON,009741,-34.94,117.8,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1513.50,593.53,343.86,205.47,368.81,1021.92,489.60,215.60,192.29,160.88,116.05,74.98,63.02,65.19,77.26,94.23,114.92,159.65,197.09
ALICE-SPRINGS-AIRPORT,015590,-23.8,133.89,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3225.91,1083.48,749.51,430.67,956.43,2007.80,1208.03,384.30,321.71,350.27,236.38,162.85,118.49,128.75,183.43,255.38,359.12,341.93,383.28
BATHURST-AGRICULTURAL-STATION,063005,-33.43,149.56,r1i1p1,rcp26,CESM1-CAM5,2020-2039,1432.13,610.45,314.08,119.33,389.39,1027.68,406.23,225.92,168.59,152.55,98.51,63.01,35.03,40.20,60.43,87.34,136.54,165.50,214.83
BIRDSVILLE-AIRPORT,038026,-25.9,139.35,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3077.25,1069.06,798.35,389.13,882.13,1982.58,1102.90,404.01,318.85,387.33,262.67,161.49,114.77,118.35,161.92,242.53,326.05,366.49,396.75
BOULIA-AIRPORT,038003,-22.91,139.9,r1i1p1,rcp26,CESM1-CAM5,2020-2039,3860.40,1112.86,932.46,645.73,1167.05,2197.72,1662.03,416.11,324.87,395.91,315.08,241.26,187.09,207.24,275.54,356.13,418.92,392.00,410.98
BROOME-AIRPORT,003003,-17.95,122.23,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2714.88,696.30,660.58,593.96,763.42,1403.07,1310.69,259.39,185.94,227.98,228.56,226.87,174.53,193.90,225.54,224.46,265.39,273.56,273.85
BURKETOWN-POST-OFFICE,029004,-17.74,139.55,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2389.08,554.31,562.24,567.75,707.76,1151.74,1242.39,197.54,154.19,180.50,193.25,197.52,167.47,184.28,216.00,227.40,249.73,230.63,221.77
CAIRNS-AERO,031011,-16.87,145.75,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2290.12,570.31,537.04,499.90,683.99,1157.93,1133.12,215.03,159.11,185.59,177.82,182.92,160.76,164.85,182.53,207.28,243.02,233.69,210.96
CARNARVON-AIRPORT,006011,-24.88,113.67,r1i1p1,rcp26,CESM1-CAM5,2020-2039,2672.27,909.54,651.46,386.10,724.91,1673.64,998.04,313.32,287.49,280.59,215.35,155.52,119.53,118.31,154.17,197.61,258.82,282.61,309.00
